target,unit,R2,RMSE,MAE,Pearson_r,NRMSE_pct
elbow_moment,N·m,0.9211,0.85,0.4558,0.9611,3.6327
act_BIClong,,0.9678,0.0166,0.0122,0.984,3.762
act_BICshort,,0.9602,0.0103,0.007,0.9806,4.3755
act_BRA,,0.9731,0.0174,0.012,0.9871,3.6138
act_BRD_hand,,0.9618,0.0081,0.006,0.9811,4.081
frc_BIClong,N,0.9672,10.5207,7.5724,0.9837,4.107
frc_BICshort,N,0.9648,3.5962,2.4008,0.9825,3.6947
frc_BRA,N,0.9752,16.2748,10.9011,0.9882,3.4697
frc_BRD_hand,N,0.962,1.6809,1.1978,0.981,2.9818
MF_BIClong,%,0.9578,0.176,0.1354,0.9793,4.9626
MF_BICshort,%,0.9292,0.1497,0.1138,0.9642,6.2417
MF_BRA,%,0.8945,0.1247,0.066,0.9525,7.1585
MF_BRD_hand,%,0.9615,0.0901,0.0691,0.981,4.745
