,torque,activations,forces,fatigue,overall
roll_mean_q_el,0.4092,0.2936,0.2229,0.0046,0.2325
cum_path,0.0168,0.0144,0.0131,0.6049,0.1623
q_el,0.124,0.1458,0.2875,0.0019,0.1398
cos_qel,0.0834,0.142,0.2422,0.0005,0.117
roll_mean_qd,0.0227,0.2402,0.1012,0.0102,0.0936
cum_grav,0.0144,0.0099,0.0089,0.2233,0.0641
humerus_mass,0.0513,0.0602,0.0633,0.0645,0.0598
WE_up,0.1256,0.0614,0.0265,0.0009,0.0536
sin_qel,0.0119,0.1094,0.0835,0.0013,0.0515
fa_elev,0.0189,0.0693,0.0672,0.0056,0.0402
wrist_up_d,0.02,0.0885,0.0472,0.0032,0.0397
roll_std_grav,0.0761,0.0263,0.0419,0.002,0.0366
roll_std_q_el,0.065,0.0216,0.0305,0.0031,0.0301
time,0.0101,0.0111,0.0093,0.0657,0.024
sw_dist,0.0375,0.0213,0.0243,0.0048,0.022
roll_std_qd,0.0259,0.0263,0.0292,0.0008,0.0206
ua_len,0.0215,0.0208,0.0204,0.0139,0.0192
ua_elev,0.0214,0.0197,0.0193,0.0133,0.0184
SE_up,0.022,0.0156,0.0143,0.0078,0.0149
wrist_up,0.0322,0.0109,0.0101,0.0009,0.0135
fa_len,0.0229,0.0105,0.0128,0.0026,0.0122
qd,0.0186,0.0074,0.0063,0.0022,0.0086
roll_mean_grav,0.0103,0.0099,0.0091,0.0014,0.0076
forearm_mass,0.0116,0.0045,0.0052,0.0091,0.0076
fad,0.0071,0.0064,0.0136,0.0033,0.0076
uad,0.0107,0.0065,0.0088,0.0018,0.007
grav,0.0073,0.0107,0.0087,0.0009,0.0069
qdd,0.0147,0.006,0.0047,0.0003,0.0064
abs_qd,0.0059,0.0056,0.0048,0.0003,0.0041
abs_qdd,0.0023,0.0013,0.0018,0.0001,0.0013
qd2,0.0014,0.0005,0.001,0.0001,0.0007
